COG_letter	COG_description	COG_category	COG_number	annotation	cluster
H	Precorrin-6Y C5,15-methylase subunit CbiT	Coenzyme transport and metabolism	COG2242	H:[Coenzyme transport and metabolism]	3
F	Nucleoside permease NupC	Nucleotide transport and metabolism	COG1972	F:[Nucleotide transport and metabolism]	3
H	Precorrin-4 methylase	Coenzyme transport and metabolism	COG2875	H:[Coenzyme transport and metabolism]	3
P	Adenylylsulfate kinase or related kinase	Inorganic ion transport and metabolism	COG0529	P:[Inorganic ion transport and metabolism]	3
G	Glucuronate isomerase	Carbohydrate transport and metabolism	COG1904	G:[Carbohydrate transport and metabolism]	3
G	Transketolase, C-terminal subunit	Carbohydrate transport and metabolism	COG3958	G:[Carbohydrate transport and metabolism]	3
M	Small-conductance mechanosensitive channel MscK	Cell wall/membrane/envelope biogenesis	COG3264	M:[Cell wall/membrane/envelope biogenesis]	3
P	Arsenite and antimonite resistance protein ArsP/YraQ, UPF0718 family	Inorganic ion transport and metabolism	COG0701	P:[Inorganic ion transport and metabolism]	3
G	Alpha-L-arabinofuranosidase	Carbohydrate transport and metabolism	COG3534	G:[Carbohydrate transport and metabolism]	3
G	Endo-1,4-beta-xylanase, GH35 family	Carbohydrate transport and metabolism	COG3693	G:[Carbohydrate transport and metabolism]	3
Q	Catechol-2,3-dioxygenase	Secondary metabolites biosynthesis, transport and catabolism	COG2514	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
O	ADP-ribosylglycohydrolase	Posttranslational modification, protein turnover, chaperones	COG1397	O:[Posttranslational modification, protein turnover, chaperones]	3
T	Tyrosine-protein phosphatase YwqE	Signal transduction mechanisms	COG4464	T:[Signal transduction mechanisms]	3
H	Lipoate-protein ligase A	Coenzyme transport and metabolism	COG0095	H:[Coenzyme transport and metabolism]	3
U	Type IV secretion/DNA transfer system protein VirB9/TraO/TrbG/CagX	Intracellular trafficking, secretion, and vesicular transport	COG3504	U:[Intracellular trafficking, secretion, and vesicular transport]	3
R	Uncharacterized membrane permease YidK, sodium:solute symporter family	General function prediction only	COG4146	R:[General function prediction only]	3
U	Type IV secretion system ATPase VirB4	Intracellular trafficking, secretion, and vesicular transport	COG3451	U:[Intracellular trafficking, secretion, and vesicular transport]	3
G	Fructose-bisphosphate aldolase class 1	Carbohydrate transport and metabolism	COG3588	G:[Carbohydrate transport and metabolism]	3
U	Type IV secretion/DNA transfer system protein VirB10/TraF	Intracellular trafficking, secretion, and vesicular transport	COG2948	U:[Intracellular trafficking, secretion, and vesicular transport]	3
J	Queuosine precursor transporter YhhQ, DUF165 family	Translation, ribosomal structure and biogenesis	COG1738	J:[Translation, ribosomal structure and biogenesis]	3
L	DNA-cytosine methylase Dcm or eukaryotic tRNA-C38 C5-methylase, Dcm/DNMT2/TRDMT1 family	Replication, recombination and repair	COG0270	L:[Replication, recombination and repair]	3
G	6-phosphogluconate dehydrogenase	Carbohydrate transport and metabolism	COG0362	G:[Carbohydrate transport and metabolism]	3
E	N-Dimethylarginine dimethylaminohydrolase	Amino acid transport and metabolism	COG1834	E:[Amino acid transport and metabolism]	3
R	Predicted amidohydrolase	General function prediction only	COG3964	R:[General function prediction only]	3
R	Predicted aminoacyl-tRNA deacylase, YbaK-like aminoacyl-tRNA editing domain	General function prediction only	COG3760	R:[General function prediction only]	3
S	Uncharacterized conserved protein YbaA, DUF1428 family	Function unknown	COG5507	S:[Function unknown]	3
R	Flotillin family membrane protein YqiK, contains Band7/PHB/SPFH domain	General function prediction only	COG2268	R:[General function prediction only]	3
P	ABC-type molybdenum transport system, ATPase component ModF/photorepair protein PhrA	Inorganic ion transport and metabolism	COG1119	P:[Inorganic ion transport and metabolism]	3
S	Uncharacterized conserved protein, DUF1109 domain	Function unknown	COG4944	S:[Function unknown]	3
P	ABC-type hemin transport system, periplasmic component	Inorganic ion transport and metabolism	COG4558	P:[Inorganic ion transport and metabolism]	3
H	Pantothenate kinase	Coenzyme transport and metabolism	COG1072	H:[Coenzyme transport and metabolism]	3
P	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase PhnJ	Inorganic ion transport and metabolism	COG3627	P:[Inorganic ion transport and metabolism]	3
P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH	Inorganic ion transport and metabolism	COG3625	P:[Inorganic ion transport and metabolism]	3
P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI	Inorganic ion transport and metabolism	COG3626	P:[Inorganic ion transport and metabolism]	3
P	ABC-type phosphonate transport system, ATPase component PhnK	Inorganic ion transport and metabolism	COG4107	P:[Inorganic ion transport and metabolism]	3
P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL	Inorganic ion transport and metabolism	COG4778	P:[Inorganic ion transport and metabolism]	3
P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG	Inorganic ion transport and metabolism	COG3624	P:[Inorganic ion transport and metabolism]	3
P	Phosphate-selective porin	Inorganic ion transport and metabolism	COG3746	P:[Inorganic ion transport and metabolism]	3
L	Very-short-patch-repair endonuclease	Replication, recombination and repair	COG2852	L:[Replication, recombination and repair]	3
P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM	Inorganic ion transport and metabolism	COG3454	P:[Inorganic ion transport and metabolism]	3
P	ABC-type nickel/cobalt efflux system, permease component RcnA	Inorganic ion transport and metabolism	COG2215	P:[Inorganic ion transport and metabolism]	3
T	Tryptophan-rich sensory protein TspO/CrtK (mitochondrial benzodiazepine receptor homolog)	Signal transduction mechanisms	COG3476	T:[Signal transduction mechanisms]	3
Q	Putative cysteine ligase BshC/YllA (bacillithiol biosynthesis)	Secondary metabolites biosynthesis, transport and catabolism	COG4365	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
H	Phosphopantetheinyl transferase	Coenzyme transport and metabolism	COG2091	H:[Coenzyme transport and metabolism]	3
O	Heat shock protein HspQ	Posttranslational modification, protein turnover, chaperones	COG3785	O:[Posttranslational modification, protein turnover, chaperones]	3
T	Ras-like GTP-binding stress-induced protein YcjX,  DUF463 family	Signal transduction mechanisms	COG3106	T:[Signal transduction mechanisms]	3
P	Thiosulfate reductase cytochrome b subunit	Inorganic ion transport and metabolism	COG4117	P:[Inorganic ion transport and metabolism]	3
G	Ribulose kinase	Carbohydrate transport and metabolism	COG1069	G:[Carbohydrate transport and metabolism]	3
E	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase/amino acid racemase	Amino acid transport and metabolism	COG0160	E:[Amino acid transport and metabolism]	4
K	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	Transcription	COG1349	K:[Transcription]	4
G	ABC-type sugar transport system, ATPase component	Carbohydrate transport and metabolism	COG1129	G:[Carbohydrate transport and metabolism]	4
Q	Aldo/keto reductase, related to diketogulonate reductase	Secondary metabolites biosynthesis, transport and catabolism	COG0656	Q:[Secondary metabolites biosynthesis, transport and catabolism]	4
T	SnoaL-fold ligand-binding domain	Signal transduction mechanisms	COG4319	T:[Signal transduction mechanisms]	4
R	Predicted epimerase YddE/YHI9, PhzF superfamily	General function prediction only	COG0384	R:[General function prediction only]	4
G	Fucose permease	Carbohydrate transport and metabolism	COG0738	G:[Carbohydrate transport and metabolism]	4
G	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	Carbohydrate transport and metabolism	COG1172	G:[Carbohydrate transport and metabolism]	4
H	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	Coenzyme transport and metabolism	COG0561	H:[Coenzyme transport and metabolism]	4
V	Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides	Defense mechanisms	COG0386	V:[Defense mechanisms]	4
V	Multidrug transporter EmrE and related cation transporters	Defense mechanisms	COG2076	V:[Defense mechanisms]	4
P	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	Inorganic ion transport and metabolism	COG4638	P:[Inorganic ion transport and metabolism]	4
A	RNA degradosome component RraA (regulator of RNase E activity)	RNA processing and modification	COG0684	A:[RNA processing and modification]	4
C	Quinol monooxygenase YgiN	Energy production and conversion	COG1359	C:[Energy production and conversion]	4
I	Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit	Lipid transport and metabolism	COG2057	I:[Lipid transport and metabolism]	4
I	Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit	Lipid transport and metabolism	COG1788	I:[Lipid transport and metabolism]	4
V	Organic hydroperoxide reductase OsmC/OhrA	Defense mechanisms	COG1764	V:[Defense mechanisms]	4
P	Bacterioferritin (cytochrome b1)	Inorganic ion transport and metabolism	COG2193	P:[Inorganic ion transport and metabolism]	4
I	Acyl-CoA hydrolase	Lipid transport and metabolism	COG1607	I:[Lipid transport and metabolism]	4
O	Zn-dependent oligopeptidase, M3 family	Posttranslational modification, protein turnover, chaperones	COG0339	O:[Posttranslational modification, protein turnover, chaperones]	4
L	ssDNA abasic site-binding protein YedK/HMCES, SRAP family	Replication, recombination and repair	COG2135	L:[Replication, recombination and repair]	4
G	Galactose mutarotase or related enzyme	Carbohydrate transport and metabolism	COG2017	G:[Carbohydrate transport and metabolism]	4
G	2-Methylisocitrate lyase and related enzymes, PEP mutase family	Carbohydrate transport and metabolism	COG2513	G:[Carbohydrate transport and metabolism]	4
X	REP element-mobilizing transposase RayT	Mobilome: prophages, transposons	COG1943	X:[Mobilome: prophages, transposons]	4
R	Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family	General function prediction only	COG0523	R:[General function prediction only]	4
I	Fatty acid desaturase	Lipid transport and metabolism	COG3239	I:[Lipid transport and metabolism]	4
P	Outer membrane receptor for ferrienterochelin and colicins	Inorganic ion transport and metabolism	COG4771	P:[Inorganic ion transport and metabolism]	4
C	Glycerol-3-phosphate dehydrogenase	Energy production and conversion	COG0578	C:[Energy production and conversion]	4
T	Chemotaxis protein histidine kinase CheA	Signal transduction mechanisms	COG0643	T:[Signal transduction mechanisms]	4
R	Predicted flavoprotein YhiN	General function prediction only	COG2081	R:[General function prediction only]	4
C	Alcohol dehydrogenase, class IV	Energy production and conversion	COG1454	C:[Energy production and conversion]	4
V	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	Defense mechanisms	COG0693	V:[Defense mechanisms]	4
M	UDP-glucose 6-dehydrogenase	Cell wall/membrane/envelope biogenesis	COG1004	M:[Cell wall/membrane/envelope biogenesis]	4
C	Cytochrome bd-type quinol oxidase, subunit 2	Energy production and conversion	COG1294	C:[Energy production and conversion]	4
P	Chromate transport protein ChrA	Inorganic ion transport and metabolism	COG2059	P:[Inorganic ion transport and metabolism]	4
T	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	Signal transduction mechanisms	COG2201	T:[Signal transduction mechanisms]	4
T	DNA-binding response regulator, FixJ family, consists of REC and HTH domains	Signal transduction mechanisms	COG4566	T:[Signal transduction mechanisms]	4
L	Rad3-related DNA helicase DinG	Replication, recombination and repair	COG1199	L:[Replication, recombination and repair]	4
G	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	Carbohydrate transport and metabolism	COG3090	G:[Carbohydrate transport and metabolism]	4
E	Threonine aldolase	Amino acid transport and metabolism	COG2008	E:[Amino acid transport and metabolism]	4
I	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	Lipid transport and metabolism	COG0344	I:[Lipid transport and metabolism]	4
F	Nucleoside diphosphate kinase	Nucleotide transport and metabolism	COG0105	F:[Nucleotide transport and metabolism]	4
H	Ketopantoate hydroxymethyltransferase	Coenzyme transport and metabolism	COG0413	H:[Coenzyme transport and metabolism]	4
N	Type IV pilus retraction ATPase PilT/PilU	Cell motility	COG2805	N:[Cell motility]	4
K	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	Transcription	COG1327	K:[Transcription]	4
J	Ribonuclease PH	Translation, ribosomal structure and biogenesis	COG0689	J:[Translation, ribosomal structure and biogenesis]	4
H	Pyridoxine 5'-phosphate synthase PdxJ	Coenzyme transport and metabolism	COG0854	H:[Coenzyme transport and metabolism]	4
J	Ribosomal protein L31	Translation, ribosomal structure and biogenesis	COG0254	J:[Translation, ribosomal structure and biogenesis]	4
H	Aspartate oxidase	Coenzyme transport and metabolism	COG0029	H:[Coenzyme transport and metabolism]	4
J	Ribosomal protein L33	Translation, ribosomal structure and biogenesis	COG0267	J:[Translation, ribosomal structure and biogenesis]	4
E	Histidinol dehydrogenase	Amino acid transport and metabolism	COG0141	E:[Amino acid transport and metabolism]	4
J	tRNA U38,U39,U40 pseudouridine synthase TruA	Translation, ribosomal structure and biogenesis	COG0101	J:[Translation, ribosomal structure and biogenesis]	4
E	Chorismate synthase	Amino acid transport and metabolism	COG0082	E:[Amino acid transport and metabolism]	4
D	Cell division GTPase FtsZ	Cell cycle control, cell division, chromosome partitioning	COG0206	D:[Cell cycle control, cell division, chromosome partitioning]	4
U	Twin-arginine protein secretion pathway component TatC	Intracellular trafficking, secretion, and vesicular transport	COG0805	U:[Intracellular trafficking, secretion, and vesicular transport]	4
J	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	Translation, ribosomal structure and biogenesis	COG0806	J:[Translation, ribosomal structure and biogenesis]	4
H	Pantothenate kinase type III	Coenzyme transport and metabolism	COG1521	H:[Coenzyme transport and metabolism]	4
J	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	Translation, ribosomal structure and biogenesis	COG0357	J:[Translation, ribosomal structure and biogenesis]	4
J	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	Translation, ribosomal structure and biogenesis	COG0802	J:[Translation, ribosomal structure and biogenesis]	4
C	FoF1-type ATP synthase, delta subunit	Energy production and conversion	COG0712	C:[Energy production and conversion]	4
H	Riboflavin synthase alpha chain	Coenzyme transport and metabolism	COG0307	H:[Coenzyme transport and metabolism]	4
E	Phosphoribosylanthranilate isomerase	Amino acid transport and metabolism	COG0135	E:[Amino acid transport and metabolism]	4
G	Phosphoheptose isomerase	Carbohydrate transport and metabolism	COG0279	G:[Carbohydrate transport and metabolism]	4
J	Ribosomal protein L25 (general stress protein Ctc)	Translation, ribosomal structure and biogenesis	COG1825	J:[Translation, ribosomal structure and biogenesis]	4
L	DNA mismatch repair ATPase MutS	Replication, recombination and repair	COG0249	L:[Replication, recombination and repair]	4
O	Protein-S-isoprenylcysteine O-methyltransferase Ste14	Posttranslational modification, protein turnover, chaperones	COG2020	O:[Posttranslational modification, protein turnover, chaperones]	4
M	Outer membrane protein assembly factor BamD, BamD/ComL family	Cell wall/membrane/envelope biogenesis	COG4105	M:[Cell wall/membrane/envelope biogenesis]	4
M	GDP-D-mannose dehydratase	Cell wall/membrane/envelope biogenesis	COG1089	M:[Cell wall/membrane/envelope biogenesis]	4
J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	Translation, ribosomal structure and biogenesis	COG0064	J:[Translation, ribosomal structure and biogenesis]	4
H	Panthothenate synthetase	Coenzyme transport and metabolism	COG0414	H:[Coenzyme transport and metabolism]	4
F	Guanylate kinase	Nucleotide transport and metabolism	COG0194	F:[Nucleotide transport and metabolism]	4
H	Lipoate synthase	Coenzyme transport and metabolism	COG0320	H:[Coenzyme transport and metabolism]	4
J	Arginyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0018	J:[Translation, ribosomal structure and biogenesis]	4
U	Preprotein translocase subunit SecD	Intracellular trafficking, secretion, and vesicular transport	COG0342	U:[Intracellular trafficking, secretion, and vesicular transport]	4
L	DNA repair protein RadA/Sms, contains AAA+ ATPase domain	Replication, recombination and repair	COG1066	L:[Replication, recombination and repair]	4
G	Triosephosphate isomerase	Carbohydrate transport and metabolism	COG0149	G:[Carbohydrate transport and metabolism]	4
H	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	Coenzyme transport and metabolism	COG0661	H:[Coenzyme transport and metabolism]	4
D	Cell division ATPase FtsA	Cell cycle control, cell division, chromosome partitioning	COG0849	D:[Cell cycle control, cell division, chromosome partitioning]	4
E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	Amino acid transport and metabolism	COG0106	E:[Amino acid transport and metabolism]	4
J	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	Translation, ribosomal structure and biogenesis	COG0130	J:[Translation, ribosomal structure and biogenesis]	4
E	Tryptophan synthase beta chain	Amino acid transport and metabolism	COG0133	E:[Amino acid transport and metabolism]	4
D	Cell shape-determining ATPase MreB, actin-like superfamily	Cell cycle control, cell division, chromosome partitioning	COG1077	D:[Cell cycle control, cell division, chromosome partitioning]	4
H	Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC	Coenzyme transport and metabolism	COG0452	H:[Coenzyme transport and metabolism]	4
M	Lipid A disaccharide synthetase	Cell wall/membrane/envelope biogenesis	COG0763	M:[Cell wall/membrane/envelope biogenesis]	4
G	6-phosphofructokinase	Carbohydrate transport and metabolism	COG0205	G:[Carbohydrate transport and metabolism]	4
E	Imidazoleglycerol phosphate dehydratase HisB	Amino acid transport and metabolism	COG0131	E:[Amino acid transport and metabolism]	4
M	Endolytic transglycosylase MltG, terminates peptidoglycan polymerization	Cell wall/membrane/envelope biogenesis	COG1559	M:[Cell wall/membrane/envelope biogenesis]	4
P	ABC-type Mn2+/Zn2+ transport system, permease component	Inorganic ion transport and metabolism	COG1108	P:[Inorganic ion transport and metabolism]	4
E	Indole-3-glycerol phosphate synthase	Amino acid transport and metabolism	COG0134	E:[Amino acid transport and metabolism]	4
M	ABC-type lipopolysaccharide export system, ATPase component	Cell wall/membrane/envelope biogenesis	COG1137	M:[Cell wall/membrane/envelope biogenesis]	4
L	DNA repair ATPase RecN	Replication, recombination and repair	COG0497	L:[Replication, recombination and repair]	4
P	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain	Inorganic ion transport and metabolism	COG0569	P:[Inorganic ion transport and metabolism]	4
J	Ribosomal protein L30/L7E	Translation, ribosomal structure and biogenesis	COG1841	J:[Translation, ribosomal structure and biogenesis]	4
E	ATP phosphoribosyltransferase	Amino acid transport and metabolism	COG0040	E:[Amino acid transport and metabolism]	4
G	Glucan phosphorylase	Carbohydrate transport and metabolism	COG0058	G:[Carbohydrate transport and metabolism]	4
H	Uroporphyrinogen-III synthase	Coenzyme transport and metabolism	COG1587	H:[Coenzyme transport and metabolism]	4
O	Fe-S cluster assembly ATPase SufC	Posttranslational modification, protein turnover, chaperones	COG0396	O:[Posttranslational modification, protein turnover, chaperones]	4
E	Tryptophan synthase alpha chain	Amino acid transport and metabolism	COG0159	E:[Amino acid transport and metabolism]	4
J	Seryl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0172	J:[Translation, ribosomal structure and biogenesis]	4
E	Phosphoribosyl-AMP cyclohydrolase	Amino acid transport and metabolism	COG0139	E:[Amino acid transport and metabolism]	4
L	Recombinational DNA repair protein RecO (RecF pathway)	Replication, recombination and repair	COG1381	L:[Replication, recombination and repair]	4
L	ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation	Replication, recombination and repair	COG0608	L:[Replication, recombination and repair]	4
M	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	Cell wall/membrane/envelope biogenesis	COG2877	M:[Cell wall/membrane/envelope biogenesis]	4
E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	Amino acid transport and metabolism	COG0118	E:[Amino acid transport and metabolism]	4
L	Exonuclease VII small subunit	Replication, recombination and repair	COG1722	L:[Replication, recombination and repair]	4
C	Glycerol-3-phosphate dehydrogenase	Energy production and conversion	COG0240	C:[Energy production and conversion]	4
L	DNA mismatch repair ATPase MutL	Replication, recombination and repair	COG0323	L:[Replication, recombination and repair]	4
E	Imidazole glycerol phosphate synthase subunit HisF	Amino acid transport and metabolism	COG0107	E:[Amino acid transport and metabolism]	4
J	Tyrosyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0162	J:[Translation, ribosomal structure and biogenesis]	4
L	Excinuclease UvrABC, nuclease subunit	Replication, recombination and repair	COG0322	L:[Replication, recombination and repair]	4
U	Preprotein translocase subunit SecA	Intracellular trafficking, secretion, and vesicular transport	COG0653	U:[Intracellular trafficking, secretion, and vesicular transport]	4
D	Cell shape-determining protein MreC	Cell cycle control, cell division, chromosome partitioning	COG1792	D:[Cell cycle control, cell division, chromosome partitioning]	4
H	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	Coenzyme transport and metabolism	COG0190	H:[Coenzyme transport and metabolism]	4
C	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	Energy production and conversion	COG0479	C:[Energy production and conversion]	4
E	Argininosuccinate synthase	Amino acid transport and metabolism	COG0137	E:[Amino acid transport and metabolism]	4
L	RecG-like helicase	Replication, recombination and repair	COG1200	L:[Replication, recombination and repair]	4
F	Adenylosuccinate synthase	Nucleotide transport and metabolism	COG0104	F:[Nucleotide transport and metabolism]	4
I	CDP-diglyceride synthetase	Lipid transport and metabolism	COG0575	I:[Lipid transport and metabolism]	4
D	Chromosome segregation ATPase Smc	Cell cycle control, cell division, chromosome partitioning	COG1196	D:[Cell cycle control, cell division, chromosome partitioning]	4
M	Lipoprotein signal peptidase	Cell wall/membrane/envelope biogenesis	COG0597	M:[Cell wall/membrane/envelope biogenesis]	4
J	Aspartyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0173	J:[Translation, ribosomal structure and biogenesis]	4
H	Porphobilinogen deaminase	Coenzyme transport and metabolism	COG0181	H:[Coenzyme transport and metabolism]	4
E	5,10-methylenetetrahydrofolate reductase	Amino acid transport and metabolism	COG0685	E:[Amino acid transport and metabolism]	4
J	Prolyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0442	J:[Translation, ribosomal structure and biogenesis]	4
C	FoF1-type ATP synthase, epsilon subunit	Energy production and conversion	COG0355	C:[Energy production and conversion]	4
F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	Nucleotide transport and metabolism	COG0046	F:[Nucleotide transport and metabolism]	4
M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	Cell wall/membrane/envelope biogenesis	COG1044	M:[Cell wall/membrane/envelope biogenesis]	4
J	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits	Translation, ribosomal structure and biogenesis	COG0799	J:[Translation, ribosomal structure and biogenesis]	4
F	Glutamine phosphoribosylpyrophosphate amidotransferase	Nucleotide transport and metabolism	COG0034	F:[Nucleotide transport and metabolism]	4
E	3-isopropylmalate dehydratase small subunit	Amino acid transport and metabolism	COG0066	E:[Amino acid transport and metabolism]	4
M	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase	Cell wall/membrane/envelope biogenesis	COG1043	M:[Cell wall/membrane/envelope biogenesis]	4
C	FoF1-type ATP synthase, alpha subunit	Energy production and conversion	COG0056	C:[Energy production and conversion]	4
F	Phosphoribosylaminoimidazole (AIR) synthetase	Nucleotide transport and metabolism	COG0150	F:[Nucleotide transport and metabolism]	4
C	FoF1-type ATP synthase, membrane subunit a	Energy production and conversion	COG0356	C:[Energy production and conversion]	4
J	Ribosomal protein L7/L12	Translation, ribosomal structure and biogenesis	COG0222	J:[Translation, ribosomal structure and biogenesis]	4
F	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	Nucleotide transport and metabolism	COG0299	F:[Nucleotide transport and metabolism]	4
L	Replication-associated recombination protein RarA (DNA-dependent ATPase)	Replication, recombination and repair	COG2256	L:[Replication, recombination and repair]	4
H	S-adenosylmethionine synthetase	Coenzyme transport and metabolism	COG0192	H:[Coenzyme transport and metabolism]	4
C	FoF1-type ATP synthase, gamma subunit	Energy production and conversion	COG0224	C:[Energy production and conversion]	4
M	UDP-N-acetylmuramoylalanine-D-glutamate ligase	Cell wall/membrane/envelope biogenesis	COG0771	M:[Cell wall/membrane/envelope biogenesis]	4
F	Uridylate kinase	Nucleotide transport and metabolism	COG0528	F:[Nucleotide transport and metabolism]	4
H	Uroporphyrinogen-III decarboxylase HemE	Coenzyme transport and metabolism	COG0407	H:[Coenzyme transport and metabolism]	4
F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	Nucleotide transport and metabolism	COG0041	F:[Nucleotide transport and metabolism]	4
H	Lipoate-protein ligase B (lipoyltransferase)	Coenzyme transport and metabolism	COG0321	H:[Coenzyme transport and metabolism]	4
F	AICAR transformylase/IMP cyclohydrolase PurH	Nucleotide transport and metabolism	COG0138	F:[Nucleotide transport and metabolism]	4
M	UDP-N-acetylglucosamine 2-epimerase	Cell wall/membrane/envelope biogenesis	COG0381	M:[Cell wall/membrane/envelope biogenesis]	4
H	Folylpolyglutamate synthase/Dihydropteroate synthase	Coenzyme transport and metabolism	COG0285	H:[Coenzyme transport and metabolism]	4
C	Na+ or H+-translocating membrane pyrophosphatase	Energy production and conversion	COG3808	C:[Energy production and conversion]	4
J	Ribosomal protein S18	Translation, ribosomal structure and biogenesis	COG0238	J:[Translation, ribosomal structure and biogenesis]	4
U	Signal recognition particle GTPase FtsY	Intracellular trafficking, secretion, and vesicular transport	COG0552	U:[Intracellular trafficking, secretion, and vesicular transport]	4
J	Translation initiation factor IF-3	Translation, ribosomal structure and biogenesis	COG0290	J:[Translation, ribosomal structure and biogenesis]	4
J	50S ribosomal subunit-associated GTPase HflX	Translation, ribosomal structure and biogenesis	COG2262	J:[Translation, ribosomal structure and biogenesis]	4
J	Methionyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0143	J:[Translation, ribosomal structure and biogenesis]	4
J	Threonyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0441	J:[Translation, ribosomal structure and biogenesis]	4
F	Aspartate carbamoyltransferase, catalytic subunit	Nucleotide transport and metabolism	COG0540	F:[Nucleotide transport and metabolism]	4
F	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	Nucleotide transport and metabolism	COG0127	F:[Nucleotide transport and metabolism]	4
J	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	Translation, ribosomal structure and biogenesis	COG1214	J:[Translation, ribosomal structure and biogenesis]	4
H	Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family	Coenzyme transport and metabolism	COG0325	H:[Coenzyme transport and metabolism]	4
H	Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain	Coenzyme transport and metabolism	COG0117	H:[Coenzyme transport and metabolism]	4
J	16S rRNA G966 N2-methylase RsmD	Translation, ribosomal structure and biogenesis	COG0742	J:[Translation, ribosomal structure and biogenesis]	4
F	Orotidine-5'-phosphate decarboxylase	Nucleotide transport and metabolism	COG0284	F:[Nucleotide transport and metabolism]	4
J	Ribosomal protein L35	Translation, ribosomal structure and biogenesis	COG0291	J:[Translation, ribosomal structure and biogenesis]	4
J	Phenylalanyl-tRNA synthetase beta subunit	Translation, ribosomal structure and biogenesis	COG0072	J:[Translation, ribosomal structure and biogenesis]	4
L	Ribonuclease HII	Replication, recombination and repair	COG0164	L:[Replication, recombination and repair]	4
E	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	Amino acid transport and metabolism	COG0512	E:[Amino acid transport and metabolism]	4
D	GTPase involved in cell partioning and DNA repair	Cell cycle control, cell division, chromosome partitioning	COG0536	D:[Cell cycle control, cell division, chromosome partitioning]	4
C	Acylphosphatase	Energy production and conversion	COG1254	C:[Energy production and conversion]	4
H	Phosphopantetheine adenylyltransferase	Coenzyme transport and metabolism	COG0669	H:[Coenzyme transport and metabolism]	4
K	DNA-binding nucleoid-associated protein YbaB/EfbC	Transcription	COG0718	K:[Transcription]	4
